id,sex,employment,married,income,digital3
125,M,employed,1,11746,.41693598
126,M,employed,1,6777,.51115108
127,M,employed,1,5639,.019893359
128,M,employed,1,9287,.46540254
129,F,unemployed,1,14923,.76182932
130,F,unemployed,0,0,.33366844
131,F,unemployed,1,793,.55005652
132,M,student,0,10962,.40648776
133,M,employed,1,27154,.34405091
134,F,employed,1,13598,.48397017
135,M,employed,1,26611,0
136,M,unemployed,1,60769,.65466416
137,M,employed,1,44761,.55314112
138,F,retired,1,5439,.23312521
139,M,employed,1,81114,.90390402
140,F,employed,1,35645,0
141,M,student,0,3462,0
142,M,employed,1,13713,.27295393
143,F,employed,1,7752,.61520135
144,F,employed,1,5346,.55781859
145,F,student,0,0,.21898736
146,M,employed,1,17305,.65050209
147,M,employed,0,11559,.41616842
148,M,unemployed,1,11431,.50266606
149,M,retired,1,11294,.33446127
150,F,employed,1,21446,.57146722
151,F,employed,1,9971,.56957829
152,M,student,0,4415,.29666236
153,F,unemployed,1,10263,0
154,M,employed,1,14455,0
155,M,employed,0,22094,0
156,M,student,0,4304,.83929151
157,F,employed,1,4009,.72479814
158,M,unemployed,1,44385,.10906868
159,M,employed,1,40736,.19942662
160,M,employed,0,7653,0
161,M,unemployed,1,0,.63405478
162,M,employed,1,11231,.70700765
163,M,employed,1,11946,.5362581
164,F,unemployed,1,0,.89948833
165,M,employed,0,15249,0
166,F,employed,0,14075,.50242263
167,M,employed,1,64217,.19845739
168,M,employed,1,187934,.11190442
169,M,employed,1,6558,.68001002
170,F,retired,1,7337,.21650684
171,F,unemployed,1,0,.33381242
172,M,employed,1,29818,.81696814
173,M,student,0,16362,.94796091
174,M,employed,1,150661,.36274526
175,M,employed,1,11626,.56609797
176,F,student,0,0,.73298514
177,F,unemployed,1,0,0
178,M,unemployed,0,0,.67527229
179,M,student,0,0,.83705801
180,M,employed,1,17450,.78146172
181,F,employed,1,10743,.60063726
182,M,unemployed,0,0,.55968291
183,M,employed,1,18045,0
184,M,retired,1,47543,.20874822
185,F,employed,1,11846,.59720039
186,F,employed,1,7806,.30691442
187,M,employed,1,17850,.57306182
188,M,employed,1,9389,.037969995
189,M,employed,1,14605,.1676189
190,F,employed,1,9144,.39444414
191,F,unemployed,1,70115,.60986674
192,M,employed,1,14232,.43592045
193,M,employed,1,33361,0
194,M,employed,1,6766,.38003564
195,M,employed,1,8963,.80752432
196,M,unemployed,0,16699,.83907735
197,F,employed,1,15302,0
198,F,unemployed,1,0,.54010087
199,F,unemployed,1,0,0
200,M,employed,1,6533,0
201,F,employed,0,25453,.72669142
202,M,student,0,0,.57935518
203,M,student,0,0,.58549958
204,M,employed,1,16384,.058790218
205,F,employed,1,11014,0
206,F,employed,1,5221,0
207,M,student,0,0,.073387139
208,M,retired,1,4174,.24352574
209,M,student,0,0,.7704134
210,M,employed,1,11584,.18517044
211,F,unemployed,1,0,0
212,F,student,0,0,.15517616
213,F,student,0,2571,.81432945
214,F,employed,1,5789,.55584818
215,F,employed,0,7898,0
216,M,employed,1,19939,0
217,F,retired,0,8388,.38766336
218,M,employed,1,101471,0
219,M,employed,1,32306,.31094331
220,M,employed,1,5384,.34468397
221,F,retired,1,2966,0
222,M,employed,0,8907,.60832459
223,M,employed,0,9285,0
224,M,employed,1,5893,.28840268
225,M,student,0,0,.36344132
226,F,employed,1,4930,.67323554
227,F,employed,1,6734,0
228,M,student,0,38128,.88309377
229,M,employed,1,37340,0
230,M,employed,1,14412,.50849688
231,M,unemployed,0,20706,.63380212
232,M,employed,1,8056,0
233,F,employed,0,13548,.55464035
234,F,retired,1,102632,0
235,M,employed,0,174363,.26652154
236,M,employed,1,8163,.13159211
237,M,student,0,0,.72015136
238,M,retired,1,7627,.12237535
239,M,retired,0,6375,.090097494
240,F,employed,0,6005,.61584061
241,M,employed,0,49763,.63820583
242,M,employed,1,70506,.14864145
243,M,employed,1,47996,.75811493
244,F,employed,1,6107,0
245,M,employed,1,11092,.24146454
246,M,retired,0,10214,.36493099
247,M,employed,1,7322,.45366988
248,F,employed,1,6527,0
249,M,employed,1,15256,.56909931
250,F,employed,1,70375,.50812554
251,M,unemployed,1,0,.50188255
252,F,employed,1,36701,0
253,F,employed,1,9876,.95283014
254,M,employed,1,6287,.58101726
255,F,student,0,0,.85678709
256,F,employed,0,6116,.46975428
257,M,employed,1,7227,.27497563
258,M,employed,1,7189,0
259,F,employed,1,5795,0
260,M,retired,1,4430,.094057299
261,M,student,1,0,.5060932
262,M,employed,1,14073,.46337554
263,F,retired,1,6192,.25805667
264,F,employed,0,16313,0
265,M,employed,0,6197,.17533286
266,F,unemployed,1,9825,.89286751
267,F,employed,1,4193,.3267318
268,F,unemployed,1,0,.5621196
269,M,retired,0,3927,.016737318
270,M,employed,1,7561,.21917363
271,F,employed,1,13468,.62977779
272,F,employed,1,6200,.51583737
273,M,unemployed,1,0,.77696222
274,F,employed,1,31366,0
275,M,employed,1,29806,.47550586
276,F,unemployed,0,18030,.7377829
277,M,retired,1,5074,.20091061
278,M,employed,1,8922,.56449431
279,F,unemployed,0,6861,0
280,M,unemployed,0,0,.15588336
281,M,employed,0,9640,.80872428
282,F,employed,1,8032,.26668218
283,F,student,0,205038,.60269725
284,M,student,0,0,.056074861
285,M,employed,1,20686,.36802101
286,M,employed,1,20093,0
287,M,employed,1,5727,.11495238
288,M,employed,0,5324,.84554446
289,M,student,0,0,.33703047
290,F,employed,0,9557,.57100409
291,F,student,0,0,.76062113
292,M,student,1,11171,0
293,F,retired,0,4726,0
294,F,employed,1,46264,.6356414
295,F,retired,0,9073,0
296,M,employed,1,5560,.79879206
297,F,retired,1,1368,0
298,M,unemployed,0,0,0
299,F,employed,1,9278,.6433028
300,F,employed,1,5590,.53771585
301,M,student,0,0,.39766428
302,F,employed,1,6454,.64123362
303,M,employed,1,19779,0
304,M,student,0,0,.87037975
305,M,student,0,16312,.89422417
306,M,employed,1,8408,.52899307
307,M,retired,1,15970,.33995324
308,M,retired,0,66072,.29286173
309,F,student,0,0,.21328372
310,M,student,0,4843,.47291008
311,M,employed,0,9288,.030493189
312,F,employed,0,21735,.87267643
313,M,employed,1,7489,.82981896
314,M,employed,1,98427,.50455409
315,F,employed,1,6148,.36959279
316,F,student,0,0,.94038135
317,F,employed,1,5065,.35229433
318,M,employed,0,8991,.77596891
319,F,student,0,0,.99043703
320,M,employed,1,5382,.64400429
321,F,student,0,42353,.68241322
322,F,employed,1,5117,0
323,M,employed,0,8134,.78704286
324,M,retired,0,3281,.27603468
325,F,employed,0,14101,.5477277
326,F,employed,0,45386,.65873867
327,M,employed,1,49094,.36044109
328,M,employed,0,11164,.053738747
329,M,employed,0,98181,.50597781
330,M,employed,1,8726,0
331,F,student,0,0,.18880661
332,F,employed,0,27868,.63016474
333,M,employed,1,215023,.23550101
334,M,employed,1,13711,.17355856
335,M,unemployed,1,0,.16589993
336,M,employed,1,11210,.44908401
337,M,employed,1,16284,.4047938
338,F,employed,1,22103,.53056532
339,F,unemployed,0,5849,0
340,M,employed,1,16259,.34861013
341,M,unemployed,0,0,.76385868
342,M,employed,1,7983,.5220989
343,M,student,0,4747,.92895085
344,M,employed,1,5011,.54349136
345,M,employed,1,8359,.76278108
346,F,employed,1,21976,.55003285
347,M,employed,1,16265,.66622967
348,M,unemployed,1,0,.57199764
349,M,employed,1,40409,.56748086
350,F,employed,0,15775,.92157435
351,M,student,0,6308,.56180263
352,F,employed,1,14963,.46418169
353,M,employed,0,20056,.67094195
354,M,employed,1,7266,.59688509
355,F,employed,0,11221,.61664063
356,M,unemployed,1,11519,.72015697
357,M,employed,1,6890,0
358,F,employed,1,14692,.53082699
359,F,employed,0,15984,0
360,M,employed,1,6408,.54846817
361,F,employed,1,26029,.542274
362,M,retired,1,32676,0
363,M,employed,0,8810,.72494388
364,M,unemployed,1,0,.099565633
365,M,student,0,0,.36086372
366,M,student,0,0,.92323893
367,M,employed,0,47467,0
368,M,student,0,101516,.080204852
369,F,employed,0,47343,.68158346
370,M,employed,1,28546,0
371,M,employed,1,25569,.2206277
372,M,student,1,0,.90826899
373,M,employed,1,11306,0
374,F,employed,0,12140,0
375,F,employed,0,6960,.43268952
376,F,unemployed,0,0,.70643669
377,F,unemployed,0,0,.84958899
378,M,student,0,0,.99153447
379,F,unemployed,1,5509,0
380,M,employed,0,141801,0
381,M,employed,0,9566,.5500592
382,M,unemployed,0,8643,0
383,F,employed,1,6445,0
384,M,employed,1,15641,.60681677
385,F,unemployed,1,0,.52394974
386,F,retired,0,9554,.23267491
387,M,unemployed,1,0,.27282593
388,M,unemployed,0,12766,0
389,M,employed,1,14769,.55444956
390,F,unemployed,1,6678,.75925344
391,F,unemployed,1,40497,.53597176
392,M,employed,0,19280,0
393,F,retired,1,16262,.088466786
394,F,unemployed,0,7466,.51212931
395,F,employed,1,5302,.040558364
396,F,employed,1,19844,.67421579
397,M,student,0,0,.74450213
398,M,student,0,0,.87126774
399,F,unemployed,1,0,.98215437
400,F,unemployed,1,0,.59561127
401,M,employed,1,37718,0
402,F,unemployed,1,0,.015868021
403,F,student,0,0,.95697409
404,F,employed,1,9133,.74537373
405,M,employed,1,25922,.52080309
406,M,employed,1,6893,.95290828
407,M,student,0,45122,.98758835
408,M,unemployed,1,7773,.28143957
409,M,unemployed,0,0,.20118652
410,F,employed,1,15755,.16078849
411,M,unemployed,1,0,.68257505
412,M,student,0,0,.37541837
413,F,retired,0,16812,0
414,M,employed,1,20186,.73560643
415,F,employed,1,9068,.50681084
416,M,employed,1,7555,.59416562
417,M,employed,0,30956,.77685982
418,M,employed,1,21732,.41471267
419,F,employed,0,53945,.90287155
420,M,employed,1,10338,.56758296
421,M,employed,1,9275,0
422,M,retired,1,3788,0
423,M,employed,1,6676,.98576397
424,F,employed,0,19987,.68831062
425,F,employed,1,13268,.5679391
426,F,employed,1,26856,.63166273
427,M,employed,1,7248,0
428,M,employed,1,11076,.47379783
429,F,employed,0,6248,0
430,F,unemployed,1,0,0
431,M,employed,1,11731,.83953625
432,M,unemployed,0,13043,.10373884
433,F,unemployed,1,13341,0
434,M,employed,1,29963,.40351632
435,F,student,0,17002,.84504825
436,F,employed,0,11259,.52669489
437,M,student,0,0,.8817004
438,M,employed,0,11021,.81772256
439,F,student,0,22582,.38338339
440,M,retired,0,6417,.32521418
441,M,employed,1,10945,.37641481
442,M,employed,0,9363,.88857627
443,M,employed,0,9524,0
444,M,employed,0,95573,.52398926
445,F,retired,0,2124,.18089809
446,M,employed,1,7449,.26808468
447,M,employed,1,16330,.58561069
448,M,employed,0,13686,.74455267
449,F,unemployed,1,0,0
450,F,employed,1,8208,.25585887
451,F,employed,0,157823,.765876
452,F,student,0,0,.95942557
453,F,student,0,0,.53778273
454,M,employed,1,6778,.70211565
455,M,student,0,0,.96314013
456,M,employed,1,9394,.55171406
457,F,student,0,0,.95194316
458,F,retired,0,18600,0
459,M,student,1,0,.0071690506
460,M,unemployed,0,0,.6156047
461,F,unemployed,1,0,.12754308
462,F,employed,1,17580,.2909947
463,F,retired,1,20527,.33683187
464,M,employed,1,11072,0
465,M,employed,1,37511,0
466,F,student,0,12850,.84889889
467,M,employed,1,13629,.58962536
468,F,student,0,0,0
469,F,employed,0,42223,.5103662
470,M,student,0,0,.37104106
471,F,student,0,0,.99562925
472,M,employed,0,11037,.54433483
473,M,employed,0,8877,0
474,M,employed,1,45719,.58343393
475,F,student,0,6245,.8888194
476,F,unemployed,1,0,.15604581
477,F,employed,1,16577,.1896134
478,M,employed,1,9956,0
479,M,employed,1,138899,.74359816
480,F,employed,1,9130,.68181485
481,F,student,1,22726,0
482,M,employed,1,6079,0
483,F,student,0,3926,.86072278
484,F,employed,1,6320,0
485,M,employed,1,6672,0
486,M,retired,1,7222,.095403343
487,M,unemployed,1,7734,.68536645
488,M,unemployed,1,15075,0
489,M,employed,1,16889,.90203917
490,F,unemployed,1,0,0
491,M,employed,1,8863,.13037695
492,M,employed,1,248375,.5258134
493,M,student,0,0,.76134896
494,M,student,0,0,.14714432
495,M,employed,1,9445,.97368652
496,F,employed,1,235049,.48533472
497,M,unemployed,1,8288,0
498,F,employed,1,13723,.77624738
499,F,unemployed,0,17027,0
500,M,employed,1,16253,0
501,M,employed,1,9026,.52323127
502,M,employed,1,6381,.14611359
503,M,employed,1,9441,.96637541
504,M,employed,1,51689,0
505,M,retired,1,5065,0
506,M,employed,1,32621,.62470084
507,M,retired,1,5470,.26557845
508,M,student,1,0,.73648691
509,M,employed,1,14417,.56352746
510,F,student,1,0,.036010563
511,M,unemployed,1,0,.67407566
512,F,employed,1,10768,0
513,M,employed,1,26072,.65753073
514,M,employed,0,12934,.58237857
515,F,employed,1,4970,.70965922
516,M,employed,1,214822,.90886039
517,M,employed,1,18921,.38905936
518,F,employed,1,7472,.82370323
519,M,employed,0,8518,0
520,M,student,0,82438,.85782969
521,M,employed,1,23595,.033461589
522,F,employed,0,22011,.85006011
523,M,student,0,0,.82124692
524,F,employed,1,27328,.58274305
525,F,employed,1,7074,.69896102
526,M,employed,0,9950,0
527,M,employed,1,41853,.70483398
528,M,employed,1,209524,.52159172
529,F,unemployed,0,6032,0
530,M,employed,1,5504,.50745302
531,F,employed,0,11176,.7540735
532,M,student,0,41920,.8584848
533,F,unemployed,1,37296,.58918434
534,M,employed,0,26060,.54699826
535,M,unemployed,1,8672,.70428813
536,F,employed,1,4919,.92723978
537,M,employed,1,21517,.53460395
538,F,employed,1,24216,.57300329
539,F,employed,1,4950,0
540,M,unemployed,1,12917,0
541,M,unemployed,1,19563,.010889758
542,M,employed,1,15323,0
543,M,retired,0,40926,.17003006
544,M,employed,1,55623,.85452563
545,F,employed,1,8700,.51428294
546,F,employed,1,7060,.50904876
547,M,employed,1,10350,0
548,F,employed,1,5147,0
549,M,student,0,0,.86453021
550,F,unemployed,1,11810,.59869069
551,M,employed,1,5818,0
552,F,unemployed,1,10489,.37246057
553,M,retired,0,36446,.2105287
554,M,student,0,11685,.98771846
555,F,unemployed,1,0,.076550461
556,M,employed,1,8763,.26273704
557,M,employed,1,25350,.51735419
558,M,employed,1,12559,.074234255
559,F,retired,1,3089,0
560,M,employed,0,9464,.90436661
561,F,unemployed,1,0,.50646681
562,M,student,0,0,.86021787
563,F,student,0,0,.90383071
564,F,employed,1,34471,0
565,M,employed,1,7961,0
566,M,employed,1,38164,.60495043
567,M,retired,1,6048,0
568,M,unemployed,1,13318,.23204377
569,F,unemployed,0,0,.67804587
570,M,employed,1,19319,.61152583
571,M,unemployed,0,0,.56699032
572,M,employed,1,8077,.65080589
573,F,employed,1,6958,.82149291
574,F,student,0,0,.78093916
575,M,employed,1,26684,.53196079
576,F,employed,1,8368,0
577,M,student,0,2366,.99256587
578,M,employed,0,7709,.79906803
579,F,employed,0,11630,.50059772
580,M,employed,1,12302,.007052911
581,F,employed,0,131934,.64254194
582,M,employed,1,5748,.35960072
583,F,retired,1,56129,.25492877
584,M,employed,1,9629,.13044703
585,M,employed,0,12031,.55688983
586,M,employed,1,8683,.56718951
587,M,student,0,0,.72482443
588,M,employed,0,47281,.52273172
589,M,retired,1,6161,.28954127
590,F,retired,1,3062,.37370223
591,M,employed,1,18369,.92103595
592,F,employed,0,32702,.51013076
593,F,student,0,4419,.74510294
594,M,employed,1,299935,.62209308
595,F,employed,0,7664,.089238964
596,M,retired,1,4822,0
597,M,employed,1,22796,.85829157
598,F,employed,1,6796,.73804283
599,M,student,0,0,.84032851
600,M,student,0,0,.87511289
601,M,unemployed,1,25028,0
602,M,student,0,0,.02563539
603,M,employed,1,26032,.54485059
604,M,student,0,0,.17548378
605,F,employed,1,4460,0
606,F,unemployed,1,8804,.58006191
607,F,employed,0,16352,.51013684
608,F,employed,0,76355,.66175091
609,F,employed,1,5506,0
610,M,employed,1,7987,.67718661
611,M,student,0,0,.7973448
612,M,employed,0,7204,.12413084
613,F,employed,0,60223,.70042259
614,M,employed,0,48390,.85711259
615,M,employed,0,10953,.60162389
616,M,unemployed,1,15327,0
617,F,employed,0,210863,.12709346
618,F,unemployed,1,0,.47765362
619,M,employed,1,40956,.73775458
620,M,employed,1,13513,0
621,M,employed,1,26758,0
622,F,employed,1,5263,.91324753
623,F,student,0,0,.96684635
624,F,employed,1,7695,.42241952
625,M,unemployed,0,21785,.6224041
626,F,student,0,13245,.02537619
627,M,student,0,0,.90244472
628,M,unemployed,0,0,.26914546
629,F,unemployed,0,0,.68157119
630,F,employed,1,9363,.27340278
631,M,employed,0,15321,.85329813
632,M,employed,0,46032,.090872891
633,M,unemployed,0,0,.62621391
634,F,employed,1,11557,0
635,M,student,0,0,.70400059
636,F,employed,1,13621,.58259118
637,M,employed,0,8675,.60824841
638,F,student,0,31841,0
639,M,retired,0,5900,0
640,F,employed,1,10109,0
641,M,employed,0,12618,0
642,M,employed,1,16995,.20912643
643,M,student,0,0,.75571448
644,M,employed,1,26175,.28093627
645,M,unemployed,0,25695,0
646,M,employed,1,350347,.60250789
647,M,employed,0,30635,0
648,F,student,0,0,.3857587
649,F,employed,0,17952,.11489832
650,M,student,0,0,.86298221
651,F,student,0,0,.90769255
652,F,employed,0,34936,.72827208
653,M,employed,1,14963,0
654,M,unemployed,1,25705,.8338722
655,F,unemployed,1,0,.70591366
656,M,employed,0,41860,.13510078
657,M,retired,0,6407,.19746315
658,M,retired,1,4128,0
659,F,employed,0,7020,.4357852
660,F,retired,1,7755,0
661,M,employed,1,17876,.31366599
662,F,unemployed,1,0,0
663,F,employed,1,6947,0
664,F,employed,1,5798,0
665,M,employed,0,34981,.83389223
666,M,employed,1,37290,.61238182
667,M,employed,1,16659,.78534001
668,F,employed,0,8187,.5652343
669,F,employed,1,6388,0
670,F,unemployed,0,0,.72208077
671,M,employed,1,6230,.57461661
672,M,employed,1,11367,.53079247
673,M,employed,1,7983,.57889056
674,F,employed,1,6457,0
675,M,retired,0,4941,.23959008
676,F,employed,1,36369,.045105092
677,M,retired,1,6387,.25539479
678,F,student,0,43213,.66227746
679,F,employed,0,36311,.10337926
680,F,unemployed,1,5873,.41540065
681,F,student,0,0,.97026825
682,M,employed,1,10569,0
683,F,employed,1,6102,.56747985
684,F,retired,1,6869,.33830923
685,F,unemployed,0,6657,.73703307
686,F,employed,1,73976,0
687,M,employed,0,11155,.82705528
688,M,employed,1,7171,.77754474
689,M,employed,1,8391,.72267747
690,M,retired,1,6590,0
691,F,student,0,6514,.86106765
692,M,employed,0,11597,0
693,M,employed,1,111315,.60958195
694,M,employed,1,20159,.58340931
695,M,employed,1,9646,0
696,M,student,0,0,.59104621
697,F,retired,1,2851,.26074511
698,M,employed,0,8087,.4353562
699,F,employed,1,12420,.13359278
700,F,unemployed,0,0,0
701,M,employed,0,7831,.73174059
702,M,unemployed,0,0,.30008888
703,F,employed,1,17778,.62917548
704,M,retired,0,4527,0
705,F,employed,1,4193,0
706,F,retired,0,4290,.20134163
707,M,employed,1,8136,0
708,F,unemployed,1,13637,.80167997
709,F,employed,1,9589,.90140295
710,M,retired,0,12118,.10775898
711,F,unemployed,1,9363,.7796768
712,M,student,0,0,.83514392
713,M,employed,1,16578,.98894101
714,M,employed,0,9038,.35494381
715,M,student,0,0,.20961805
716,F,retired,1,10142,.22622856
717,M,retired,1,8577,.38947418
718,M,retired,1,19408,.29321736
719,F,unemployed,0,16046,0
720,M,unemployed,0,0,.57054949
721,M,employed,1,17592,.36482725
722,F,employed,0,12797,.36032069
723,M,employed,1,12396,.73651689
724,F,employed,1,6848,.67188334
725,M,unemployed,1,0,.55771482
726,M,retired,0,3521,.00185579
727,M,student,0,4550,.9059847
728,F,student,0,9312,0
729,M,employed,1,49122,.74235487
730,F,unemployed,1,13862,.53605533
731,M,employed,1,30252,.68411475
732,F,employed,0,5713,0
733,F,unemployed,1,6925,0
734,F,retired,0,6285,.35323018
735,F,unemployed,1,30099,.64162481
736,M,student,0,5344,.27939391
737,M,student,0,0,.16891132
738,M,employed,1,9988,.57465744
739,M,employed,1,20498,.52197611
740,M,student,0,0,.56623745
741,M,employed,0,11216,0
742,M,student,0,0,.94231033
743,M,retired,1,6811,.25307569
744,F,employed,1,8449,0
745,F,employed,0,10687,.57963818
746,F,employed,1,5652,0
747,M,employed,1,9552,.55968803
748,F,unemployed,1,14954,.62257975
749,M,employed,1,11747,.43591711
750,F,retired,1,8842,0
751,M,employed,1,41699,.91856945
752,F,student,0,0,.256257
753,F,unemployed,0,0,0
754,M,employed,0,8554,.52496636
755,M,employed,1,45455,.85603571
756,M,employed,1,20687,.57368058
757,F,employed,1,6701,.62647945
758,F,employed,1,4836,0
759,M,unemployed,0,5891,0
760,M,employed,0,6291,.284733
761,M,employed,1,13849,.8686353
762,M,retired,0,5125,.22496812
763,M,student,0,0,.93504655
764,F,student,0,0,.36489269
765,M,employed,1,19022,.060144164
766,M,employed,0,11021,0
767,M,student,1,68872,.904944
768,F,employed,0,50019,.65159065
769,M,employed,1,34586,.58834344
770,M,employed,1,6304,.83342528
771,F,student,0,0,.74965733
772,M,employed,1,61409,.65087289
773,M,student,1,0,0
774,M,student,0,0,.90629017
775,M,employed,1,10580,.96859068
776,F,unemployed,0,0,.23859802
777,F,employed,0,8687,.60430193
778,M,employed,0,5649,.91770023
779,M,employed,1,16200,.6597243
780,M,retired,0,11179,.22001918
781,M,employed,1,7267,0
782,M,employed,1,17206,.65601963
783,M,unemployed,1,0,0
784,F,student,0,0,.87979519
785,F,student,1,0,.99575907
786,M,employed,1,14158,.91611946
787,F,student,0,0,.86318642
788,F,employed,1,33627,.56664789
789,F,employed,0,42760,.61725444
790,M,employed,0,5558,.62600899
791,M,unemployed,0,0,.70285434
792,M,employed,1,25526,.70771718
793,F,employed,1,7002,.56029558
794,M,retired,0,49152,0
795,M,employed,1,10559,.5963304
796,M,employed,1,5466,.77594316
797,M,employed,1,68729,.72250462
798,M,unemployed,1,8843,.79663271
799,M,student,0,8038,0
800,M,student,0,3908,.87477624
801,M,employed,1,244020,0
802,M,employed,0,5852,.20923451
803,F,employed,0,9392,.68024749
804,F,unemployed,0,0,0
805,M,unemployed,0,8496,.23099011
806,F,student,0,4306,.72876519
807,M,unemployed,1,9997,.64331383
808,F,employed,1,12780,0
809,M,student,0,0,.92093742
810,F,employed,1,13772,0
811,M,employed,1,35353,.17298093
812,M,employed,1,29179,.70815521
813,F,employed,1,16776,.66120875
814,M,employed,1,5705,0
815,F,retired,1,25473,.13111374
816,F,employed,1,34360,.50421196
817,F,student,1,0,.92350268
818,F,unemployed,0,0,.56517255
819,F,employed,0,7192,.60457927
820,F,student,0,0,.29995915
821,F,student,0,3240,.7069236
822,M,employed,1,128124,.75149775
823,F,student,0,0,.96056086
824,F,employed,1,7064,0
825,M,retired,0,5222,0
826,M,employed,1,17563,.70299298
827,M,retired,0,11808,.22585301
828,F,student,0,0,0
829,F,unemployed,1,10494,.82715064
830,M,employed,1,108836,0
831,F,unemployed,1,17879,.55936998
832,M,employed,1,9146,.51534647
833,M,employed,1,22148,.59215283
834,F,unemployed,1,8572,.76295698
835,F,employed,0,41077,.79029858
836,F,employed,1,7339,.27070805
837,M,employed,0,126039,0
838,M,unemployed,0,0,.054182176
839,M,employed,0,5848,0
840,M,employed,0,9015,.66982114
841,M,employed,1,9251,.56637621
842,M,employed,0,7672,.046795432
843,F,student,0,0,.90311557
844,M,employed,1,13785,0
845,M,retired,1,13404,0
846,F,retired,1,3742,.054900616
847,F,employed,1,25159,.20460047
848,M,employed,1,15042,.77002341
849,F,employed,1,7285,.050891496
850,M,unemployed,1,0,.96935248
851,F,employed,1,23156,0
852,M,unemployed,1,9593,.71762007
853,F,employed,1,39184,.54503906
854,F,unemployed,0,0,.52135831
855,F,employed,0,6957,0
856,M,employed,1,13230,0
