id,sex,employment,married,income,digital3,default
265,M,employed,0,6197,0.17533286,0
266,F,unemployed,1,9825,0.89286751,0
267,F,employed,1,4193,0.3267318,0
268,F,unemployed,1,0,0.5621196,0
269,M,retired,0,3927,0.016737318,0
270,M,employed,1,7561,0.21917363,0
271,F,employed,1,13468,0.62977779,0
272,F,employed,1,6200,0.51583737,0
273,M,unemployed,1,0,0.77696222,1
274,F,employed,1,31366,0.0,0
275,M,employed,1,29806,0.47550586,1
276,F,unemployed,0,18030,0.7377829,0
277,M,retired,1,5074,0.20091061,1
278,M,employed,1,8922,0.56449431,1
279,F,unemployed,0,6861,0.0,0
280,M,unemployed,0,0,0.15588336,1
281,M,employed,0,9640,0.80872428,0
282,F,employed,1,8032,0.26668218,0
283,F,student,0,205038,0.60269725,0
284,M,student,0,0,0.056074861,0
285,M,employed,1,20686,0.36802101,0
286,M,employed,1,20093,0.0,0
287,M,employed,1,5727,0.11495238,0
288,M,employed,0,5324,0.84554446,0
289,M,student,0,0,0.33703047,0
290,F,employed,0,9557,0.57100409,0
291,F,student,0,0,0.76062113,0
292,M,student,1,11171,0.0,0
293,F,retired,0,4726,0.0,0
294,F,employed,1,46264,0.6356414,0
295,F,retired,0,9073,0.0,0
296,M,employed,1,5560,0.79879206,0
297,F,retired,1,1368,0.0,0
298,M,unemployed,0,0,0.0,0
299,F,employed,1,9278,0.6433028,0
300,F,employed,1,5590,0.53771585,0
301,M,student,0,0,0.39766428,0
302,F,employed,1,6454,0.64123362,0
303,M,employed,1,19779,0.0,0
304,M,student,0,0,0.87037975,0
305,M,student,0,16312,0.89422417,0
306,M,employed,1,8408,0.52899307,0
307,M,retired,1,15970,0.33995324,0
308,M,retired,0,66072,0.29286173,0
309,F,student,0,0,0.21328372,0
310,M,student,0,4843,0.47291008,0
311,M,employed,0,9288,0.030493189,0
312,F,employed,0,21735,0.87267643,0
313,M,employed,1,7489,0.82981896,0
314,M,employed,1,98427,0.50455409,0
315,F,employed,1,6148,0.36959279,0
316,F,student,0,0,0.94038135,0
317,F,employed,1,5065,0.35229433,0
318,M,employed,0,8991,0.77596891,0
319,F,student,0,0,0.99043703,0
320,M,employed,1,5382,0.64400429,0
321,F,student,0,42353,0.68241322,0
322,F,employed,1,5117,0.0,0
323,M,employed,0,8134,0.78704286,0
324,M,retired,0,3281,0.27603468,0
325,F,employed,0,14101,0.5477277,0
326,F,employed,0,45386,0.65873867,0
327,M,employed,1,49094,0.36044109,0
328,M,employed,0,11164,0.053738747,0
329,M,employed,0,98181,0.50597781,0
330,M,employed,1,8726,0.0,0
331,F,student,0,0,0.18880661,0
332,F,employed,0,27868,0.63016474,0
333,M,employed,1,215023,0.23550101,0
334,M,employed,1,13711,0.17355856,0
335,M,unemployed,1,0,0.16589993,1
336,M,employed,1,11210,0.44908401,0
337,M,employed,1,16284,0.4047938,0
338,F,employed,1,22103,0.53056532,0
339,F,unemployed,0,5849,0.0,0
340,M,employed,1,16259,0.34861013,1
341,M,unemployed,0,0,0.76385868,0
342,M,employed,1,7983,0.5220989,1
343,M,student,0,4747,0.92895085,0
344,M,employed,1,5011,0.54349136,0
345,M,employed,1,8359,0.76278108,0
346,F,employed,1,21976,0.55003285,0
347,M,employed,1,16265,0.66622967,1
348,M,unemployed,1,0,0.57199764,0
349,M,employed,1,40409,0.56748086,0
350,F,employed,0,15775,0.92157435,0
351,M,student,0,6308,0.56180263,0
352,F,employed,1,14963,0.46418169,0
353,M,employed,0,20056,0.67094195,0
354,M,employed,1,7266,0.59688509,0
355,F,employed,0,11221,0.61664063,1
356,M,unemployed,1,11519,0.72015697,0
357,M,employed,1,6890,0.0,0
358,F,employed,1,14692,0.53082699,0
359,F,employed,0,15984,0.0,0
360,M,employed,1,6408,0.54846817,0
361,F,employed,1,26029,0.542274,0
362,M,retired,1,32676,0.0,0
363,M,employed,0,8810,0.72494388,0
364,M,unemployed,1,0,0.099565633,0
365,M,student,0,0,0.36086372,0
366,M,student,0,0,0.92323893,1
367,M,employed,0,47467,0.0,0
368,M,student,0,101516,0.080204852,0
369,F,employed,0,47343,0.68158346,0
370,M,employed,1,28546,0.0,0
371,M,employed,1,25569,0.2206277,0
372,M,student,1,0,0.90826899,0
373,M,employed,1,11306,0.0,0
374,F,employed,0,12140,0.0,0
375,F,employed,0,6960,0.43268952,0
376,F,unemployed,0,0,0.70643669,0
377,F,unemployed,0,0,0.84958899,1
378,M,student,0,0,0.99153447,0
379,F,unemployed,1,5509,0.0,0
380,M,employed,0,141801,0.0,0
381,M,employed,0,9566,0.5500592,0
382,M,unemployed,0,8643,0.0,0
383,F,employed,1,6445,0.0,0
384,M,employed,1,15641,0.60681677,0
385,F,unemployed,1,0,0.52394974,0
386,F,retired,0,9554,0.23267491,0
387,M,unemployed,1,0,0.27282593,0
388,M,unemployed,0,12766,0.0,0
389,M,employed,1,14769,0.55444956,0
390,F,unemployed,1,6678,0.75925344,0
391,F,unemployed,1,40497,0.53597176,0
392,M,employed,0,19280,0.0,0
393,F,retired,1,16262,0.088466786,0
394,F,unemployed,0,7466,0.51212931,0
395,F,employed,1,5302,0.040558364,0
396,F,employed,1,19844,0.67421579,0
397,M,student,0,0,0.74450213,0
398,M,student,0,0,0.87126774,1
399,F,unemployed,1,0,0.98215437,0
400,F,unemployed,1,0,0.59561127,0
401,M,employed,1,37718,0.0,0
402,F,unemployed,1,0,0.015868021,1
403,F,student,0,0,0.95697409,0
404,F,employed,1,9133,0.74537373,0
405,M,employed,1,25922,0.52080309,0
406,M,employed,1,6893,0.95290828,0
407,M,student,0,45122,0.98758835,0
408,M,unemployed,1,7773,0.28143957,0
409,M,unemployed,0,0,0.20118652,0
410,F,employed,1,15755,0.16078849,0
411,M,unemployed,1,0,0.68257505,0
412,M,student,0,0,0.37541837,0
413,F,retired,0,16812,0.0,0
414,M,employed,1,20186,0.73560643,0
415,F,employed,1,9068,0.50681084,0
416,M,employed,1,7555,0.59416562,0
417,M,employed,0,30956,0.77685982,0
418,M,employed,1,21732,0.41471267,0
419,F,employed,0,53945,0.90287155,0
420,M,employed,1,10338,0.56758296,0
421,M,employed,1,9275,0.0,0
422,M,retired,1,3788,0.0,0
423,M,employed,1,6676,0.98576397,0
424,F,employed,0,19987,0.68831062,0
425,F,employed,1,13268,0.5679391,0
426,F,employed,1,26856,0.63166273,0
427,M,employed,1,7248,0.0,0
428,M,employed,1,11076,0.47379783,1
429,F,employed,0,6248,0.0,0
430,F,unemployed,1,0,0.0,1
431,M,employed,1,11731,0.83953625,0
432,M,unemployed,0,13043,0.10373884,0
433,F,unemployed,1,13341,0.0,0
434,M,employed,1,29963,0.40351632,0
435,F,student,0,17002,0.84504825,0
436,F,employed,0,11259,0.52669489,0
437,M,student,0,0,0.8817004,1
438,M,employed,0,11021,0.81772256,0
439,F,student,0,22582,0.38338339,0
440,M,retired,0,6417,0.32521418,0
441,M,employed,1,10945,0.37641481,0
442,M,employed,0,9363,0.88857627,0
443,M,employed,0,9524,0.0,0
444,M,employed,0,95573,0.52398926,0
445,F,retired,0,2124,0.18089809,0
446,M,employed,1,7449,0.26808468,0
447,M,employed,1,16330,0.58561069,0
448,M,employed,0,13686,0.74455267,0
449,F,unemployed,1,0,0.0,0
450,F,employed,1,8208,0.25585887,0
451,F,employed,0,157823,0.765876,0
452,F,student,0,0,0.95942557,0
453,F,student,0,0,0.53778273,0
454,M,employed,1,6778,0.70211565,0
455,M,student,0,0,0.96314013,0
456,M,employed,1,9394,0.55171406,0
457,F,student,0,0,0.95194316,0
458,F,retired,0,18600,0.0,0
459,M,student,1,0,0.0071690506,1
460,M,unemployed,0,0,0.6156047,0
461,F,unemployed,1,0,0.12754308,0
462,F,employed,1,17580,0.2909947,0
463,F,retired,1,20527,0.33683187,0
464,M,employed,1,11072,0.0,0
465,M,employed,1,37511,0.0,0
466,F,student,0,12850,0.84889889,0
467,M,employed,1,13629,0.58962536,0
468,F,student,0,0,0.0,0
469,F,employed,0,42223,0.5103662,0
470,M,student,0,0,0.37104106,1
471,F,student,0,0,0.99562925,0
472,M,employed,0,11037,0.54433483,0
473,M,employed,0,8877,0.0,0
474,M,employed,1,45719,0.58343393,0
475,F,student,0,6245,0.8888194,0
476,F,unemployed,1,0,0.15604581,1
477,F,employed,1,16577,0.1896134,0
478,M,employed,1,9956,0.0,0
479,M,employed,1,138899,0.74359816,0
480,F,employed,1,9130,0.68181485,0
481,F,student,1,22726,0.0,0
482,M,employed,1,6079,0.0,0
483,F,student,0,3926,0.86072278,0
484,F,employed,1,6320,0.0,0
485,M,employed,1,6672,0.0,0
486,M,retired,1,7222,0.095403343,0
487,M,unemployed,1,7734,0.68536645,1
488,M,unemployed,1,15075,0.0,0
489,M,employed,1,16889,0.90203917,0
490,F,unemployed,1,0,0.0,1
491,M,employed,1,8863,0.13037695,0
492,M,employed,1,248375,0.5258134,0
493,M,student,0,0,0.76134896,1
494,M,student,0,0,0.14714432,1
495,M,employed,1,9445,0.97368652,0
496,F,employed,1,235049,0.48533472,0
497,M,unemployed,1,8288,0.0,0
498,F,employed,1,13723,0.77624738,0
499,F,unemployed,0,17027,0.0,0
500,M,employed,1,16253,0.0,0
501,M,employed,1,9026,0.52323127,0
502,M,employed,1,6381,0.14611359,0
503,M,employed,1,9441,0.96637541,0
504,M,employed,1,51689,0.0,0
505,M,retired,1,5065,0.0,0
506,M,employed,1,32621,0.62470084,0
507,M,retired,1,5470,0.26557845,0
508,M,student,1,0,0.73648691,0
509,M,employed,1,14417,0.56352746,0
510,F,student,1,0,0.036010563,0
511,M,unemployed,1,0,0.67407566,1
512,F,employed,1,10768,0.0,0
513,M,employed,1,26072,0.65753073,0
514,M,employed,0,12934,0.58237857,0
515,F,employed,1,4970,0.70965922,0
516,M,employed,1,214822,0.90886039,0
517,M,employed,1,18921,0.38905936,0
518,F,employed,1,7472,0.82370323,1
519,M,employed,0,8518,0.0,0
520,M,student,0,82438,0.85782969,0
521,M,employed,1,23595,0.033461589,0
522,F,employed,0,22011,0.85006011,0
523,M,student,0,0,0.82124692,1
524,F,employed,1,27328,0.58274305,0
525,F,employed,1,7074,0.69896102,0
526,M,employed,0,9950,0.0,1
527,M,employed,1,41853,0.70483398,0
528,M,employed,1,209524,0.52159172,0
529,F,unemployed,0,6032,0.0,0
530,M,employed,1,5504,0.50745302,0
531,F,employed,0,11176,0.7540735,0
532,M,student,0,41920,0.8584848,0
533,F,unemployed,1,37296,0.58918434,0
534,M,employed,0,26060,0.54699826,0
535,M,unemployed,1,8672,0.70428813,0
536,F,employed,1,4919,0.92723978,0
537,M,employed,1,21517,0.53460395,0
538,F,employed,1,24216,0.57300329,0
539,F,employed,1,4950,0.0,1
540,M,unemployed,1,12917,0.0,0
541,M,unemployed,1,19563,0.010889758,1
542,M,employed,1,15323,0.0,0
543,M,retired,0,40926,0.17003006,0
544,M,employed,1,55623,0.85452563,0
545,F,employed,1,8700,0.51428294,0
546,F,employed,1,7060,0.50904876,0
547,M,employed,1,10350,0.0,0
548,F,employed,1,5147,0.0,0
549,M,student,0,0,0.86453021,0
550,F,unemployed,1,11810,0.59869069,0
551,M,employed,1,5818,0.0,0
552,F,unemployed,1,10489,0.37246057,0
553,M,retired,0,36446,0.2105287,0
554,M,student,0,11685,0.98771846,0
555,F,unemployed,1,0,0.076550461,1
556,M,employed,1,8763,0.26273704,0
557,M,employed,1,25350,0.51735419,0
558,M,employed,1,12559,0.074234255,0
559,F,retired,1,3089,0.0,0
560,M,employed,0,9464,0.90436661,0
561,F,unemployed,1,0,0.50646681,0
562,M,student,0,0,0.86021787,0
563,F,student,0,0,0.90383071,0
564,F,employed,1,34471,0.0,0
565,M,employed,1,7961,0.0,0
566,M,employed,1,38164,0.60495043,0
567,M,retired,1,6048,0.0,0
568,M,unemployed,1,13318,0.23204377,0
569,F,unemployed,0,0,0.67804587,0
570,M,employed,1,19319,0.61152583,0
571,M,unemployed,0,0,0.56699032,0
572,M,employed,1,8077,0.65080589,0
573,F,employed,1,6958,0.82149291,1
574,F,student,0,0,0.78093916,1
575,M,employed,1,26684,0.53196079,0
576,F,employed,1,8368,0.0,0
577,M,student,0,2366,0.99256587,0
578,M,employed,0,7709,0.79906803,0
579,F,employed,0,11630,0.50059772,0
580,M,employed,1,12302,0.007052911,1
581,F,employed,0,131934,0.64254194,0
582,M,employed,1,5748,0.35960072,1
583,F,retired,1,56129,0.25492877,0
584,M,employed,1,9629,0.13044703,0
585,M,employed,0,12031,0.55688983,0
586,M,employed,1,8683,0.56718951,0
587,M,student,0,0,0.72482443,0
588,M,employed,0,47281,0.52273172,0
589,M,retired,1,6161,0.28954127,0
590,F,retired,1,3062,0.37370223,1
591,M,employed,1,18369,0.92103595,0
592,F,employed,0,32702,0.51013076,0
593,F,student,0,4419,0.74510294,0
594,M,employed,1,299935,0.62209308,0
595,F,employed,0,7664,0.089238964,0
596,M,retired,1,4822,0.0,0
597,M,employed,1,22796,0.85829157,0
598,F,employed,1,6796,0.73804283,0
599,M,student,0,0,0.84032851,0
600,M,student,0,0,0.87511289,0
601,M,unemployed,1,25028,0.0,0
602,M,student,0,0,0.02563539,0
603,M,employed,1,26032,0.54485059,0
604,M,student,0,0,0.17548378,0
605,F,employed,1,4460,0.0,0
606,F,unemployed,1,8804,0.58006191,0
607,F,employed,0,16352,0.51013684,0
608,F,employed,0,76355,0.66175091,0
609,F,employed,1,5506,0.0,0
610,M,employed,1,7987,0.67718661,0
611,M,student,0,0,0.7973448,0
612,M,employed,0,7204,0.12413084,0
613,F,employed,0,60223,0.70042259,0
614,M,employed,0,48390,0.85711259,0
615,M,employed,0,10953,0.60162389,0
616,M,unemployed,1,15327,0.0,0
617,F,employed,0,210863,0.12709346,0
618,F,unemployed,1,0,0.47765362,0
619,M,employed,1,40956,0.73775458,0
620,M,employed,1,13513,0.0,0
621,M,employed,1,26758,0.0,0
622,F,employed,1,5263,0.91324753,0
623,F,student,0,0,0.96684635,1
624,F,employed,1,7695,0.42241952,0
625,M,unemployed,0,21785,0.6224041,0
626,F,student,0,13245,0.02537619,0
627,M,student,0,0,0.90244472,0
628,M,unemployed,0,0,0.26914546,0
629,F,unemployed,0,0,0.68157119,1
630,F,employed,1,9363,0.27340278,0
631,M,employed,0,15321,0.85329813,0
632,M,employed,0,46032,0.090872891,0
633,M,unemployed,0,0,0.62621391,1
634,F,employed,1,11557,0.0,0
635,M,student,0,0,0.70400059,1
636,F,employed,1,13621,0.58259118,0
637,M,employed,0,8675,0.60824841,1
638,F,student,0,31841,0.0,0
639,M,retired,0,5900,0.0,0
640,F,employed,1,10109,0.0,0
641,M,employed,0,12618,0.0,0
642,M,employed,1,16995,0.20912643,0
643,M,student,0,0,0.75571448,0
644,M,employed,1,26175,0.28093627,0
645,M,unemployed,0,25695,0.0,0
646,M,employed,1,350347,0.60250789,0
647,M,employed,0,30635,0.0,0
648,F,student,0,0,0.3857587,0
649,F,employed,0,17952,0.11489832,0
650,M,student,0,0,0.86298221,0
651,F,student,0,0,0.90769255,0
652,F,employed,0,34936,0.72827208,0
653,M,employed,1,14963,0.0,0
654,M,unemployed,1,25705,0.8338722,0
655,F,unemployed,1,0,0.70591366,0
656,M,employed,0,41860,0.13510078,0
657,M,retired,0,6407,0.19746315,0
658,M,retired,1,4128,0.0,0
659,F,employed,0,7020,0.4357852,0
660,F,retired,1,7755,0.0,0
661,M,employed,1,17876,0.31366599,0
662,F,unemployed,1,0,0.0,0
663,F,employed,1,6947,0.0,1
664,F,employed,1,5798,0.0,1
665,M,employed,0,34981,0.83389223,0
666,M,employed,1,37290,0.61238182,0
667,M,employed,1,16659,0.78534001,0
668,F,employed,0,8187,0.5652343,0
669,F,employed,1,6388,0.0,0
670,F,unemployed,0,0,0.72208077,0
671,M,employed,1,6230,0.57461661,0
672,M,employed,1,11367,0.53079247,0
673,M,employed,1,7983,0.57889056,0
674,F,employed,1,6457,0.0,0
675,M,retired,0,4941,0.23959008,0
676,F,employed,1,36369,0.045105092,0
677,M,retired,1,6387,0.25539479,0
678,F,student,0,43213,0.66227746,0
679,F,employed,0,36311,0.10337926,0
680,F,unemployed,1,5873,0.41540065,0
681,F,student,0,0,0.97026825,0
682,M,employed,1,10569,0.0,0
683,F,employed,1,6102,0.56747985,0
684,F,retired,1,6869,0.33830923,0
685,F,unemployed,0,6657,0.73703307,0
686,F,employed,1,73976,0.0,0
687,M,employed,0,11155,0.82705528,0
688,M,employed,1,7171,0.77754474,0
689,M,employed,1,8391,0.72267747,0
690,M,retired,1,6590,0.0,0
691,F,student,0,6514,0.86106765,0
692,M,employed,0,11597,0.0,0
693,M,employed,1,111315,0.60958195,0
694,M,employed,1,20159,0.58340931,0
695,M,employed,1,9646,0.0,0
696,M,student,0,0,0.59104621,0
697,F,retired,1,2851,0.26074511,0
698,M,employed,0,8087,0.4353562,0
699,F,employed,1,12420,0.13359278,0
700,F,unemployed,0,0,0.0,1
701,M,employed,0,7831,0.73174059,0
702,M,unemployed,0,0,0.30008888,1
703,F,employed,1,17778,0.62917548,0
704,M,retired,0,4527,0.0,0
705,F,employed,1,4193,0.0,1
706,F,retired,0,4290,0.20134163,0
707,M,employed,1,8136,0.0,0
708,F,unemployed,1,13637,0.80167997,0
709,F,employed,1,9589,0.90140295,0
710,M,retired,0,12118,0.10775898,0
711,F,unemployed,1,9363,0.7796768,0
712,M,student,0,0,0.83514392,0
713,M,employed,1,16578,0.98894101,0
714,M,employed,0,9038,0.35494381,0
