id,sex,employment,married,income,digital2
100349,F,retired,1,990,0
100350,M,employed,1,7506,.84349132
100351,F,employed,0,8937,.61018389
100352,F,unemployed,1,0,.67228222
100353,M,employed,1,19913,0
100354,M,unemployed,0,11180,0
100355,M,student,0,0,.92697865
100356,F,employed,0,36663,.53487515
100357,F,student,1,9285,.51777428
100358,M,employed,1,23067,.72759563
100359,M,employed,0,11113,.57034248
100360,M,employed,0,17865,.75815856
100361,F,unemployed,1,14772,.53024507
100362,M,employed,1,12163,.31035087
100363,M,employed,1,6384,.43988031
100364,F,employed,0,6425,.65710169
100365,M,retired,0,3950,0
100366,F,employed,1,14880,0
100367,F,retired,1,3214,.2458849
100368,F,student,0,4551,.028077301
100369,M,employed,1,6570,0
100370,M,student,0,0,.97894502
100371,F,employed,0,8316,0
100372,M,employed,1,153060,.24821886
100373,F,unemployed,1,0,0
100374,F,unemployed,0,12568,0
100375,M,unemployed,0,0,0
100376,M,employed,1,6338,.56490535
100377,F,employed,1,12155,0
100378,M,employed,1,119175,0
100379,F,employed,1,29204,.57679498
100380,M,employed,1,18491,0
100381,F,unemployed,0,12329,.79269868
100382,M,unemployed,0,0,.1707803
100383,M,student,0,0,.90183675
100384,M,employed,1,10091,.59930205
100385,M,retired,1,12203,.34171262
100386,M,employed,1,28090,.53432602
100387,M,employed,1,8979,.8274886
100388,F,unemployed,1,0,.53971499
100389,M,retired,1,4475,.0131302
100390,M,unemployed,1,0,.42517516
100391,M,unemployed,1,10947,.2198053
100392,M,employed,1,15555,.55007237
100393,F,employed,0,14633,0
100394,M,employed,1,27800,.69816381
100395,F,student,0,0,0
100396,M,employed,0,25815,0
100397,F,retired,1,11196,0
100398,M,employed,1,6124,0
100399,M,employed,1,10218,.58571935
100400,F,employed,1,9947,.62863356
100401,F,student,0,16597,.96277499
100402,M,employed,0,33436,0
100403,M,retired,1,10859,.2957927
100404,M,unemployed,0,0,0
100405,M,employed,1,31499,.52550954
100406,M,employed,0,11191,0
100407,M,student,0,0,.86783224
100408,M,student,0,0,.89479154
100409,F,employed,1,17551,.6610918
100410,M,student,0,0,.0051167207
100411,M,employed,1,56694,.85521197
100412,F,employed,0,34384,.93489569
100413,M,unemployed,1,7014,.334813
100414,F,unemployed,1,6950,0
100415,M,employed,1,26011,0
100416,F,student,0,9682,.83472091
100417,F,employed,0,26666,.61047393
100418,F,employed,1,8932,.54413158
100419,M,unemployed,1,9537,.80540013
100420,F,unemployed,1,0,0
100421,F,employed,1,11195,0
100422,M,employed,0,7593,.81388134
100423,F,employed,0,18522,.55376387
100424,M,employed,1,6302,.84242904
100425,F,unemployed,1,7268,.66268486
100426,F,employed,0,14884,.3036485
100427,F,unemployed,1,0,0
100428,F,retired,1,3255,.18671677
100429,F,employed,0,10741,.6832726
100430,M,student,0,0,.76076829
100431,M,employed,1,7734,.39498967
100432,M,unemployed,1,0,0
100433,M,unemployed,1,0,0
100434,M,employed,1,25312,0
100435,F,unemployed,1,8656,0
100436,M,retired,1,10193,0
100437,F,retired,1,3765,.31616962
100438,F,employed,0,35800,.79631758
100439,M,employed,0,10345,.54888493
100440,M,employed,0,7539,.50324404
100441,M,employed,1,6879,0
100442,M,retired,0,11673,.29022092
100443,F,student,0,0,0
100444,F,employed,1,9027,.074569926
100445,F,student,0,24605,.4575375
100446,M,employed,1,9468,.89160073
100447,M,employed,1,8545,0
100448,M,employed,0,6342,.14908038
100449,F,unemployed,1,0,.44495279
100450,M,retired,1,7309,.21003905
100451,F,unemployed,0,8809,0
100452,M,retired,1,3658,.28689688
100453,F,employed,1,9650,.90532804
100454,M,employed,0,13225,.92733407
100455,F,retired,0,10400,0
100456,M,retired,0,4408,.2176753
100457,M,employed,0,19396,0
100458,M,employed,1,21379,0
100459,M,student,0,0,.39627442
100460,F,employed,1,15867,.47745964
100461,F,student,0,0,.33256519
100462,F,employed,1,5440,.66115105
100463,F,retired,0,3108,.20163803
100464,M,unemployed,1,0,0
100465,M,retired,0,11819,.26080066
100466,M,employed,1,6535,.22281925
100467,F,unemployed,0,12397,.45276716
100468,M,employed,0,6239,.55615485
100469,M,employed,1,28167,.021398535
100470,M,unemployed,1,0,.462387
100471,F,employed,1,25443,0
100472,M,student,0,0,.82481134
100473,M,retired,0,15827,0
100474,M,employed,0,24507,.70909309
100475,M,employed,1,33246,0
100476,M,employed,1,70841,.50486249
100477,M,employed,1,8477,.53495002
100478,M,employed,0,75724,.62542534
100479,F,unemployed,1,14136,0
100480,F,student,0,0,.93486279
100481,F,unemployed,0,0,.42069575
100482,M,employed,1,6136,.65984046
100483,M,student,0,22625,.94358003
100484,M,employed,1,19843,.55517626
100485,M,employed,1,7346,.76631188
100486,M,employed,0,83878,.65095699
100487,M,employed,1,5129,.70809281
100488,M,student,0,0,.62161088
100489,F,employed,1,23644,0
100490,F,employed,0,9495,.58990955
100491,F,employed,0,6126,.53916353
100492,F,employed,1,7612,.58086753
100493,M,employed,0,9463,.71338308
100494,M,employed,0,17628,.25681341
100495,M,employed,1,7622,0
100496,F,unemployed,1,0,.040578086
100497,F,employed,1,29537,.082051188
100498,M,employed,0,14512,0
100499,F,employed,0,5966,.67907649
100500,F,retired,1,3260,.32910475
100501,M,student,0,0,.48197335
100502,M,employed,1,21891,.40693566
100503,M,employed,0,15858,.54288489
100504,M,unemployed,0,10082,.5118205
100505,M,employed,0,7129,.29548922
100506,M,student,0,8967,.90999883
100507,M,employed,1,14910,.64533621
100508,M,employed,1,7206,.70881593
100509,M,employed,0,5278,.73396707
100510,M,employed,1,8635,0
100511,M,unemployed,1,6594,0
100512,F,employed,1,11345,.85406959
100513,M,employed,1,25887,.78803277
100514,F,unemployed,1,0,.6531837
100515,M,employed,1,13930,.50103158
100516,M,student,0,5219,.6378811
100517,M,unemployed,1,26758,0
100518,M,employed,0,15975,.83331585
100519,M,employed,1,8964,0
100520,M,employed,0,17753,.28966004
100521,F,unemployed,1,27936,0
100522,M,employed,0,56192,.082503237
100523,M,student,0,0,.93041939
100524,F,employed,1,5574,.71491921
100525,M,employed,0,28916,.57477182
100526,M,employed,1,16416,0
100527,F,student,1,15042,0
100528,F,employed,0,29201,.85093302
100529,F,retired,1,7137,.20166293
100530,F,employed,1,13067,.962322
100531,F,student,0,0,.20473772
100532,F,employed,1,4869,0
100533,F,student,0,2917,0
100534,F,employed,1,13871,.48811513
100535,F,retired,0,3661,.26632172
100536,F,employed,1,7707,.28064647
100537,F,employed,1,19890,.49561691
100538,F,employed,1,14306,.61817765
100539,M,employed,1,28443,.0096023818
100540,M,employed,0,6538,.77333075
100541,M,employed,1,29624,.71472514
100542,M,employed,1,22748,.49135217
100543,M,student,0,0,.79520452
100544,M,employed,0,16348,.8180967
100545,M,employed,1,8152,.57722694
100546,M,retired,0,3104,.26568669
100547,M,employed,1,11180,.5140202
100548,M,employed,1,10379,.5551042
100549,M,unemployed,0,16997,0
100550,M,employed,0,9202,.39354429
100551,F,employed,0,13685,0
100552,F,employed,1,24559,.020802321
100553,M,employed,1,8889,0
100554,F,employed,1,11502,.48790425
100555,M,unemployed,1,0,0
100556,F,employed,1,4886,.44964284
100557,F,unemployed,1,14095,.63470429
100558,M,employed,1,9595,.73464441
100559,M,employed,1,23673,.72287983
100560,M,employed,1,9812,.42364979
100561,F,employed,1,8518,.83064979
100562,M,employed,1,17087,.047208801
100563,M,employed,1,7773,.052764829
100564,F,student,0,0,.1906573
100565,M,employed,0,8499,.063366897
100566,M,student,0,0,.83436322
100567,F,unemployed,1,0,.20213243
100568,M,employed,1,98786,.70450312
100569,M,employed,1,180462,.64133596
100570,M,student,0,0,.92930424
100571,F,employed,1,17373,.52092618
100572,F,retired,1,3262,0
100573,F,retired,1,39160,0
100574,M,unemployed,1,0,.78570718
100575,M,employed,1,54820,0
100576,M,employed,1,5958,.52351063
100577,F,student,0,0,.063880391
100578,M,employed,0,6213,.58314496
100579,M,student,0,0,.12214079
100580,M,employed,1,16306,.92009729
100581,M,unemployed,1,9782,0
100582,M,employed,1,20810,0
100583,M,employed,1,11356,.57354581
100584,M,retired,0,9084,.20870554
100585,F,employed,1,32527,0
100586,F,employed,0,20917,.60029578
100587,F,employed,1,10165,.99255937
100588,M,unemployed,1,0,.5681594
100589,F,employed,0,8525,0
100590,M,student,0,0,.89087701
100591,M,unemployed,0,0,0
100592,F,student,0,21508,.79297638
100593,F,employed,0,28822,.4607254
100594,M,employed,1,20094,0
100595,M,retired,1,7670,.016108181
100596,F,employed,1,6173,.72754061
100597,F,unemployed,0,0,0
100598,F,unemployed,1,6238,.80536789
100599,M,employed,1,12280,.59805477
100600,M,retired,1,4364,.3077991
100601,M,employed,0,92290,.6908142
100602,M,employed,0,13104,0
100603,M,employed,1,117340,.61504644
100604,M,employed,1,22018,0
100605,M,employed,1,5407,.59155095
100606,F,student,0,0,.37840277
100607,M,employed,1,7335,.51100856
100608,M,employed,1,8170,.26609394
100609,M,employed,1,12633,.59272683
100610,M,student,1,5084,.92061496
100611,M,retired,1,9376,0
100612,M,student,0,18069,.31892329
100613,M,employed,1,6156,.52735931
100614,M,employed,1,7715,.52973163
100615,M,employed,0,5749,.59223974
100616,F,employed,1,8734,.73336875
100617,F,student,0,12198,.80429745
100618,M,unemployed,1,70117,0
100619,F,unemployed,1,0,.98088568
100620,M,unemployed,1,20898,.51511049
100621,F,retired,0,116583,0
100622,M,employed,1,16525,.82757872
100623,M,unemployed,0,6572,.66909802
100624,M,employed,1,6831,0
100625,M,retired,1,8708,0
100626,M,student,0,0,.97459018
100627,F,employed,1,5720,.31900322
100628,F,employed,1,107687,.52031416
100629,M,employed,1,13187,.59067404
100630,M,employed,1,89745,.42533726
100631,F,employed,0,12047,.32085925
100632,M,employed,0,7142,.23691662
100633,F,employed,1,7296,.29362902
100634,M,employed,1,23492,.011810396
100635,F,employed,1,5949,.64656717
100636,F,unemployed,1,134408,.65084112
100637,F,retired,1,9926,.24054447
100638,F,employed,0,5404,.063579321
100639,M,employed,0,92045,0
100640,F,unemployed,1,15855,.10760909
100641,F,unemployed,1,0,.24485621
100642,F,employed,1,5685,0
100643,M,employed,1,10848,0
100644,M,employed,0,6533,.60003424
100645,F,employed,1,28241,.91451836
100646,F,employed,1,8529,.42099825
100647,F,unemployed,1,0,.15227574
100648,M,unemployed,1,10304,.16485161
100649,F,student,0,36517,.94494087
100650,M,employed,1,6161,.13731521
100651,M,student,0,0,.74239606
100652,M,retired,0,3185,.084978603
100653,M,unemployed,0,0,.61444324
100654,F,employed,1,9194,.2167612
100655,M,employed,0,44668,0
100656,M,employed,1,8821,.53355664
100657,F,unemployed,1,58119,.26067796
100658,M,unemployed,1,15076,.65819758
100659,F,retired,1,3826,.21067838
100660,M,employed,0,5844,0
100661,M,employed,1,15609,.36968198
100662,M,student,0,8802,.81581438
100663,M,employed,0,9664,.53932011
100664,F,unemployed,1,22101,.40653345
100665,M,employed,0,7504,.59052789
100666,M,employed,1,6608,0
100667,F,retired,1,46184,0
100668,F,employed,1,6328,.25940186
100669,M,employed,1,6288,0
100670,M,employed,1,13545,.028084535
100671,M,unemployed,1,0,.15177678
100672,M,employed,1,13341,.57565713
100673,M,employed,0,8802,.35730255
100674,F,unemployed,1,11303,.0030303907
100675,M,retired,1,22995,.18120953
100676,F,employed,1,10823,.96475279
100677,F,employed,0,48058,.64403248
100678,M,employed,1,11172,.22508663
100679,F,unemployed,1,6987,0
100680,M,unemployed,1,9947,.50775898
100681,F,retired,1,11669,.29576024
100682,M,employed,1,21424,.63611734
100683,M,employed,1,32599,.60124636
100684,F,employed,1,6765,.042067528
100685,M,employed,0,54994,0
100686,F,student,0,6410,.27150327
100687,M,student,0,0,0
100688,M,student,0,0,.9719497
100689,M,retired,1,4268,0
100690,F,unemployed,0,0,.55934143
100691,F,retired,0,7138,0
100692,M,employed,1,26256,0
100693,M,unemployed,1,0,0
100694,M,employed,1,9978,.78810722
100695,M,retired,1,7804,.058826514
100696,F,retired,1,3658,.31155255
100697,F,employed,1,7735,.56111556
100698,M,employed,1,6926,.57821214
100699,F,unemployed,1,0,.52553469
100700,M,employed,0,9493,.59559131
100701,F,employed,1,8686,.37767702
100702,M,employed,0,6321,.55078512
100703,F,student,0,0,.96076006
100704,F,employed,1,9284,.88988006
100705,M,student,0,0,.75685817
100706,F,employed,1,15104,.49139109
100707,M,employed,1,9092,0
100708,F,student,0,10529,.55036896
100709,F,employed,1,71289,.92845559
100710,M,employed,1,13239,.044019245
100711,M,unemployed,1,0,.5982514
100712,F,unemployed,1,7329,0
100713,M,employed,1,8239,0
100714,F,unemployed,1,7389,.64683294
100715,M,retired,1,4966,0
100716,M,retired,1,10426,.39565831
100717,F,employed,0,6146,.4710651
100718,F,employed,1,22342,.30563679
100719,M,employed,0,5275,.42311633
100720,M,retired,0,10917,0
100721,F,student,0,0,.56594867
100722,M,unemployed,1,0,.93057501
100723,M,employed,1,16335,.51164746
100724,F,retired,1,10018,0
100725,M,student,0,0,.88617474
100726,M,student,0,0,.37496996
100727,M,employed,0,11593,.0039315908
100728,F,employed,1,13401,0
100729,M,employed,0,6571,.82855397
100730,M,employed,0,10123,0
100731,M,student,0,9886,.39388201
100732,F,student,0,0,.51169729
100733,F,employed,1,128580,0
100734,M,employed,1,23570,.66081458
100735,F,employed,1,6180,.937442
100736,M,student,0,6228,.90270627
100737,M,employed,0,6522,.52419049
100738,F,employed,1,6345,.33046708
100739,M,employed,1,8392,.83259827
100740,M,employed,1,14055,.28613314
100741,F,employed,1,12132,.43768764
100742,F,unemployed,1,7775,.15949517
100743,M,student,0,0,.88497615
100744,M,employed,1,13774,0
100745,F,employed,0,79171,.56423706
100746,F,employed,1,67486,.54202193
100747,M,retired,1,13422,0
100748,F,employed,0,10068,.12241355
100749,M,retired,1,6413,.27636787
100750,M,employed,1,15347,0
100751,M,employed,1,239045,.73101413
100752,M,unemployed,0,13727,.47807404
100753,M,retired,1,11028,0
100754,F,employed,1,4402,.67812681
100755,F,unemployed,1,0,0
100756,M,employed,1,249211,.81129521
100757,F,employed,0,57824,.55575466
100758,F,employed,0,19670,.11782183
100759,F,employed,1,13629,0
100760,F,student,1,0,.12567066
100761,F,retired,1,31599,0
100762,M,unemployed,1,0,0
100763,F,student,1,19911,.46080375
100764,F,retired,0,7138,.20785061
100765,F,employed,0,6724,.73371881
100766,F,employed,1,20685,.70875371
100767,F,retired,1,6057,.26435953
100768,M,student,0,0,.3310073
100769,M,employed,0,6513,.59747696
100770,F,employed,1,6763,.65919155
100771,F,retired,1,9659,.24736504
100772,F,employed,1,52115,.79967582
100773,F,employed,0,6315,.71173501
100774,M,retired,0,3776,0
100775,M,employed,0,12668,.56032807
100776,M,employed,1,29760,0
100777,F,student,0,0,0
100778,M,student,0,0,.55006361
100779,F,employed,1,7758,.8280775
100780,F,employed,1,17572,.99160326
100781,M,employed,0,18339,.43492267
100782,M,employed,1,8559,0
100783,M,employed,0,18084,0
100784,F,student,0,0,.99779779
100785,F,student,0,0,.74079925
100786,F,unemployed,1,0,.96335006
100787,M,employed,0,14346,.52041012
100788,F,employed,0,6049,0
100789,M,employed,1,16124,0
100790,F,student,0,15099,.88001877
100791,F,employed,0,8218,.53724194
100792,F,unemployed,1,0,.20980094
100793,F,retired,1,4064,0
100794,M,employed,1,306134,.50091529
100795,M,employed,1,5651,.54273254
100796,M,employed,1,22381,.53880751
100797,F,retired,1,5616,.25325385
100798,M,employed,0,92290,0
100799,M,unemployed,1,0,0
100800,M,retired,0,217,0
100801,F,employed,1,5624,.65112239
100802,M,employed,0,24501,.77813417
100803,F,student,0,3916,.60237074
100804,M,employed,1,47167,0
100805,F,unemployed,0,20831,.55720943
100806,M,unemployed,1,14938,.73770213
100807,M,retired,1,8272,0
100808,M,employed,1,12525,.71270007
